id,parent,"zone_id","name",active,deleted
1,NULL,"1,1__1","Голова",1,0
2,1,"1_5_1,1_5","Нос",1,0
3,NULL,"4,1_11","Живот",1,0
4,3,NULL,"печень",1,1
5,NULL,NULL,"Общие симптомы",1,0
6,NULL,"2","Шея",1,0
8,NULL,"3,1_12","Грудная клетка",1,0
10,NULL,"1_01,5,4_7_03,5_7_1","Руки",1,0
12,NULL,"7,7_6_02,6_6_02,4_7,8_6_2","Ноги",1,0
14,NULL,"6,1_03,1_22,1_13","Тазовая область",1,0
16,1,"1_1,1_1_3","Верхняя часть головы",1,0
18,1,"1_3","Глаза",1,0
20,1,"1_6,1_6_1","Рот",1,0
22,1,"1_2","Уши",1,0
24,1,"1_8,1_8_1","Челюсть",1,0
26,8,"3_1_3,3_1_1","Грудная клетка",1,0
28,8,"3_2_1,3_2_01","Грудь",1,0
30,8,"3_3_02,3_3_04","Нижняя часть грудной клетки",1,0
32,10,"5_1,4_1_01,3_1_02","Плечо",1,0
34,10,"3_2_03,3_2_2","Подмышка",1,0
36,10,NULL,"Кисть",1,0
38,10,"5_3_01,4_3,3_3_03,5_3_03","Локоть",1,0
40,10,"5_4,4_4,3_4","Предплечье",1,0
42,10,"5_5,4_5,3_5","Запястье",1,0
44,10,"5_6","Ладонь",1,0
46,10,"6_7,4_7_01,5_7,4_7_02","Пальцы рук",1,0
48,3,"4_1_02,4_1_2","Верхняя часть живота",1,0
50,3,"4_2_02,4_2_2","Нижняя часть живота",1,0
52,14,"7_1,7_1_3","Таз",1,0
54,14,"7_3_3,7_3_02","Гениталии",1,0
56,14,"6_1_01,5_3_02","Бедро",1,0
58,14,"7_2_02,7_2_03","Пах",1,0
60,12,"8_1,1_07,6_1_02","Бедра",1,0
62,12,"8_2","Колено",1,0
64,12,"8_3","Голень",1,0
66,12,"8_4,1_08,6_4","Щиколотка",1,0
68,12,"8_5","Стопа",1,0
70,12,"8_6,7_6_01,6_6_01,8_6_1","Пальцы ног",1,0
72,NULL,NULL,"Кожа",1,0
74,72,"skin","Кожа",1,0
76,NULL,"1_02,1_21","Спина",1,0
78,76,"3_1_01,2_1_02","Спина",1,0
80,76,"3_2_4,2_2","Верхняя часть позвоночника",1,0
82,76,"3_3_01,2_3","Нижняя часть позвоночника",1,0
84,1,"1_1_1,1_1_2","Затылок",1,0
86,6,"1_2_1,2_1_1","Задняя часть шеи",1,0
88,14,"6_2_1,5_2_3","Ягодицы",1,0
90,12,"6_2,7_2_01","Задняя часть колена",1,0
92,12,"6_3,7_3_01","Икра",1,0
94,12,"6_5,7_5","Пятка",1,0
96,10,"3_6,4_6","Тыльная сторона руки",1,0
98,5,"common","Общие симптомы",1,0
100,6,"2_1_01,2_1_3","Передняя часть шеи",1,0
102,10,"5_2,3_2_02,4_2_01","Верхняя часть руки",1,0
